id_question,question
1,من هو خاتم الأنبياء والمرسلين؟  
2,كم استمرت الدعوة السرية؟
3,ما هي السور التي بدأت بالحمد ؟
4,ما هو اسم والدة نبي الله عيسى عليه السلام
5,من هي أول من دخل في الإسلام من النساء؟
6,ما هي السورة التي لا تبتدأ بالبسملة؟
7,ما هو اسم مرضعة الرسول صلى الله عليه وسلم ؟
8,من هو النبي الذي التقمه الحوت؟
9,ما هي السورة التي تحدثت عن تقسيم الغنائم؟
10,ما هي أقصر سورة في القرآن الكريم ؟
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
1,من هو خاتم الأنبياء والمرسلين؟  
2,كم استمرت الدعوة السرية؟
3,ما هي السور التي بدأت بالحمد ؟
4,ما هو اسم والدة نبي الله عيسى عليه السلام
5,من هي أول من دخل في الإسلام من النساء؟
6,ما هي السورة التي لا تبتدأ  بالبسملة؟
7,ما هو اسم مرضعة الرسول صلى الله عليه وسلم ؟
8,من هو النبي الذي التقمه الحوت؟
9,ما هي السورة التي تحدثت عن تقسيم الغنائم؟
10,ما هي أقصر سورة في القرآن الكريم ؟
